"sus","fam","inf","buil","nei","lng","lat","infFam","infBuil","infNei","invDist","infP"
2701,492,FALSE,934,125,28,46,0,0,0,0.0965464736709721,0.610731701253218
2702,1080,FALSE,395,192,162,193,0,0,0,0.0889396405116848,0.496953866201803
2703,1608,TRUE,718,193,90,35,5,11,106,0.0883301585578582,0.999999619864574
2704,1156,FALSE,545,32,127,63,0,1,1,0.0901614914249489,0.404323287940795
2705,1328,FALSE,478,179,130,188,0,0,0,0.0937123722228726,0.560053486535127
2706,1506,FALSE,755,68,39,65,0,0,0,0.0981820072195597,0.688780070965013
2707,1996,FALSE,907,83,59,140,0,0,1,0.0755920840940604,0.480267390067079
2708,1507,FALSE,395,192,162,193,0,0,0,0.0718969956765922,0.552402508473851
2709,1625,FALSE,574,123,97,90,1,1,1,0.0832749233613349,0.665586105543017
2710,670,TRUE,739,193,90,35,6,15,106,0.081752830095276,0.99999987544301
2711,1049,FALSE,381,160,191,59,0,0,0,0.0914092463165383,0.494971347846239
2712,1155,FALSE,369,87,24,60,0,0,1,0.0848036827608235,0.579001901821694
2713,1731,FALSE,670,93,194,168,0,0,0,0.0920072531624143,0.561015364995206
2714,904,FALSE,394,159,35,128,0,0,0,0.0842269252171405,0.645256353257978
2715,899,FALSE,884,30,102,51,0,0,0,0.0764998315369362,0.661214200645523
2716,1466,FALSE,46,62,13,164,0,0,0,0.0770472090501032,0.540980533863007
2717,1234,FALSE,918,124,52,143,0,0,0,0.0749662701466106,0.508403354674074
2718,1507,FALSE,395,192,162,193,0,0,0,0.0931037888945144,0.370298853227768
2719,1983,FALSE,288,48,67,179,0,0,0,0.0965464736709721,0.457615768760547
2720,1005,FALSE,221,163,58,149,2,2,2,0.0914092463165383,0.796699089821646
2721,1886,FALSE,791,152,37,146,0,0,0,0.0990743318918274,0.570127350455241
2722,253,FALSE,999,14,138,162,0,0,0,0.0834832761573292,0.487375699870856
2723,1196,FALSE,545,32,127,63,1,1,1,0.090849202456963,0.536098474942948
2724,1810,FALSE,362,178,34,89,0,0,0,0.0770472090501032,0.507308675984408
2725,405,FALSE,514,154,69,11,0,0,0,0.098432184016053,0.545701333547099
2726,1064,FALSE,876,26,17,109,0,1,9,0.0876134018789789,0.414699984649847
2727,51,TRUE,889,193,90,35,4,12,106,0.0978314611479547,0.999999659632711
2728,968,FALSE,387,49,38,176,0,0,0,0.0831707975044816,0.608236393257957
2729,1047,FALSE,487,79,9,110,0,0,0,0.0921053146817394,0.410923767386269
2730,868,FALSE,590,200,176,157,0,0,0,0.0978314611479547,0.625625647386393
2731,563,FALSE,566,61,123,86,0,0,0,0.0797776475623587,0.589409905698857
2732,427,FALSE,15,42,12,24,0,0,2,0.082479688168395,0.569231420237726
2733,1957,FALSE,267,187,161,191,0,1,1,0.0954706870753404,0.649633436934574
2734,1646,FALSE,481,99,5,43,0,0,0,0.0848870264568826,0.687590917649348
2735,1535,FALSE,578,162,26,112,0,0,0,0.0799070400496662,0.670960076064279
2736,704,FALSE,302,156,129,123,0,0,0,0.100812456037827,0.661353600875959
2737,109,TRUE,146,195,78,58,2,2,2,0.0932095615542382,0.681506032966351
2738,1344,FALSE,719,171,93,50,0,0,0,0.0871199049055316,0.33154860943157
2739,526,FALSE,217,95,169,33,0,0,0,0.0938724947466088,0.494244640194043
2740,1585,FALSE,796,174,22,95,0,0,0,0.0883595502932049,0.644149785780494
2741,57,FALSE,67,130,104,113,0,0,0,0.108564508559782,0.486644081653175
2742,267,FALSE,357,101,173,30,0,0,0,0.075544822492641,0.413117194976865
2743,1086,FALSE,361,163,58,149,0,0,2,0.0876134018789789,0.399869681175357
2744,930,FALSE,253,162,26,112,0,0,0,0.0971381730964246,0.559391748690641
2745,1491,FALSE,851,96,135,156,0,0,0,0.0932421119526173,0.580209026260536
2746,431,FALSE,19,178,34,89,0,0,0,0.0870234174840872,0.433316830536601
2747,1439,FALSE,796,174,22,95,0,0,0,0.0863896767369111,0.487501240271102
2748,803,FALSE,365,105,32,20,0,0,0,0.105296826539831,0.687279657817618
2749,270,FALSE,112,31,188,165,0,0,0,0.0902986466755425,0.55278363041563
