"sus","fam","inf","buil","nei","lng","lat","infFam","infBuil","infNei","invDist","infP"
309,84,FALSE,46,7,3,4,0,0,2,0.18272583882674,0.552807065529255
310,47,FALSE,29,1,8,1,0,0,0,0.159340815161557,0.501936287092627
311,57,FALSE,28,9,5,3,1,7,20,0.265058620995596,0.704428462041661
312,35,FALSE,26,8,1,8,0,0,0,0.147924792145202,0.457945017260005
313,38,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.428443960072624
314,38,FALSE,47,8,1,8,0,0,0,0.147924792145202,0.567980319247473
315,44,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.559742391986741
316,13,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.706503965136288
317,28,TRUE,37,6,6,6,4,5,29,0.30708218561556,0.813572191080297
318,59,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.676327596363795
319,11,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.477639013412748
320,24,FALSE,26,8,1,8,0,0,0,0.147924792145202,0.388015280362285
321,16,TRUE,6,7,3,4,2,2,2,0.18272583882674,0.746718806174809
322,83,FALSE,9,6,6,6,2,4,29,0.30708218561556,0.689414100179704
323,80,FALSE,12,9,5,3,0,0,20,0.265058620995596,0.637733299881223
324,78,FALSE,13,7,3,4,0,0,2,0.18272583882674,0.501178664759322
325,7,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.631347040475055
326,15,TRUE,48,9,5,3,5,5,20,0.265058620995596,0.893626961292875
327,74,FALSE,7,10,2,2,0,0,4,0.125878609612025,0.681470022293557
328,15,TRUE,48,9,5,3,5,5,20,0.265058620995596,0.800608192006012
329,94,TRUE,14,4,4,7,5,13,30,0.32024948589206,0.854287673621867
330,20,FALSE,22,4,4,7,0,1,30,0.32024948589206,0.727412693588316
331,16,FALSE,6,7,3,4,2,2,2,0.18272583882674,0.794578363786711
332,70,FALSE,4,10,2,2,0,0,4,0.125878609612025,0.666533431659486
333,77,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.556755659117319
334,13,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.58697950282062
335,76,FALSE,18,3,10,5,0,0,0,0.0970420208308609,0.441457842596032
336,84,FALSE,46,7,3,4,0,0,2,0.18272583882674,0.618903288134458
337,37,FALSE,37,6,6,6,0,5,29,0.30708218561556,0.773383363590638
338,51,FALSE,5,9,5,3,3,4,20,0.265058620995596,0.716375249650022
339,61,FALSE,7,10,2,2,0,0,4,0.125878609612025,0.568762809385466
340,74,FALSE,7,10,2,2,0,0,4,0.125878609612025,0.473620472509063
341,81,TRUE,21,6,6,6,7,17,29,0.30708218561556,0.951111957853958
342,93,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.600758071349517
343,83,FALSE,9,6,6,6,2,4,29,0.30708218561556,0.73512207357587
344,97,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.526988072543923
345,72,FALSE,33,3,10,5,0,0,0,0.0970420208308609,0.506917508231454
346,81,TRUE,21,6,6,6,7,17,29,0.30708218561556,0.977366544050431
347,83,FALSE,9,6,6,6,2,4,29,0.30708218561556,0.733526805880917
348,75,FALSE,41,10,2,2,1,3,4,0.125878609612025,0.778555507362838
349,52,FALSE,9,6,6,6,2,4,29,0.30708218561556,0.74362288296847
350,40,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.429695236318004
351,36,TRUE,14,4,4,7,5,13,30,0.32024948589206,0.812436269170057
352,73,TRUE,17,4,4,7,3,3,30,0.32024948589206,0.803335675391794
353,67,FALSE,41,10,2,2,2,3,4,0.125878609612025,0.792628049752014
354,97,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.382579762237578
355,78,FALSE,13,7,3,4,0,0,2,0.18272583882674,0.583780094612009
356,59,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.641423530903939
357,54,FALSE,40,10,2,2,0,0,4,0.125878609612025,0.581178055103508
358,68,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.64007381323726
359,15,TRUE,48,9,5,3,5,5,20,0.265058620995596,0.806947381501115
360,68,FALSE,34,5,7,10,0,0,2,0.145205102176674,0.460603816675832
361,36,TRUE,14,4,4,7,5,13,30,0.32024948589206,0.856225294764682
362,63,FALSE,32,10,2,2,0,0,4,0.125878609612025,0.613644068713988
363,81,TRUE,21,6,6,6,7,17,29,0.30708218561556,0.968405241593865
364,72,FALSE,33,3,10,5,0,0,0,0.0970420208308609,0.626825652340851
365,86,FALSE,18,3,10,5,0,0,0,0.0970420208308609,0.545176719049425
366,82,FALSE,14,4,4,7,3,13,30,0.32024948589206,0.775681343683947
367,7,FALSE,36,3,10,5,0,0,0,0.0970420208308609,0.537582650342672
368,64,FALSE,38,3,10,5,0,0,0,0.0970420208308609,0.365221941694479
369,32,FALSE,25,3,10,5,0,0,0,0.0970420208308609,0.472473196851055
370,48,FALSE,46,7,3,4,0,0,2,0.18272583882674,0.665710081839634
371,49,FALSE,19,3,10,5,0,0,0,0.0970420208308609,0.357538997331295
372,2,FALSE,2,2,9,9,0,0,3,0.171808142870807,0.58183374974065
373,71,FALSE,43,1,8,1,0,0,0,0.159340815161557,0.482259692667528
374,66,FALSE,37,6,6,6,1,5,29,0.30708218561556,0.747385681694937
